Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
191;191;03/01/2020;142000;2408
192;192;15/01/2020;66000;2408
193;193;22/01/2020;71500;2408
194;194;10/01/2020;68100;2408
195;195;24/01/2020;58900;2304
196;196;17/02/2020;37900;2408
197;197;14/02/2020;70000;2173
198;198;21/02/2020;112900;2408
199;199;21/02/2020;39500;2408
200;200;24/02/2020;39900;2408
201;201;19/02/2020;78100;2408
202;202;06/02/2020;37015;2408
203;203;12/03/2020;93000;2408
204;204;09/04/2020;35000;2408
205;205;06/04/2020;42500;2408
206;206;09/04/2020;88000;2408
207;207;06/05/2020;80900;2408
208;208;04/05/2020;34000;2408
209;209;18/05/2020;84000;2755
210;210;11/05/2020;90000;2173
211;211;26/05/2020;81500;2408
212;212;26/05/2020;27000;2408
213;213;26/05/2020;20000;2680
214;214;29/05/2020;137000;2738
215;215;30/05/2020;44500;2408
216;216;05/06/2020;75000;2408
217;217;22/05/2020;44000;2408
218;218;25/06/2020;32500;2318
219;219;23/06/2020;35500;2408
220;220;24/06/2020;365000;2408
221;221;24/06/2020;55000;2408
222;222;30/06/2020;29500;2408
223;223;15/01/2020;370000;2691
224;224;07/02/2020;41000;2691
225;225;06/03/2020;107000;2691
226;226;19/06/2020;68700;2691
227;227;10/01/2020;290000;2722
228;228;04/02/2020;57000;2226
229;229;31/01/2020;274000;2722
230;230;06/02/2020;39000;2722
231;231;18/02/2020;102345;2722
232;232;07/02/2020;63500;2722
233;233;04/02/2020;181000;2722
234;234;13/02/2020;125000;2795
235;235;13/02/2020;59000;2795
237;237;05/02/2020;90000;2410
238;238;31/01/2020;110000;2810
239;239;12/02/2020;81000;2722
240;240;19/02/2020;67000;2722
241;241;18/02/2020;30000;2722
242;242;03/02/2020;79180;2537
243;243;03/03/2020;55000;2758
244;244;14/02/2020;97000;2810
245;245;10/03/2020;44000;2722
246;246;10/03/2020;82500;2722
247;247;02/03/2020;230000;2722
248;248;27/02/2020;13000;2722
249;249;20/04/2020;103090;2810
250;250;23/04/2020;95000;2201
251;251;15/05/2020;36000;2810
252;252;10/03/2020;100789;2722
253;253;02/03/2020;76280;2722
254;254;06/05/2020;65000;2722
255;255;29/05/2020;151000;2064
256;256;14/05/2020;134000;2722
257;257;25/05/2020;56500;2722
258;258;05/06/2020;47500;2722
259;259;04/06/2020;44000;2810
260;260;16/05/2020;41500;2722
261;261;27/05/2020;95000;2810
262;262;28/05/2020;87000;2810
263;263;10/06/2020;53000;2722
264;264;30/06/2020;36000;2722
265;265;05/06/2020;70000;2722
266;266;18/06/2020;169000;2201
267;267;09/06/2020;148586;2722
268;268;10/06/2020;140000;2722
269;269;25/06/2020;45375;2722
270;270;24/01/2020;55000;2168
271;271;07/02/2020;290000;2168
272;272;11/03/2020;110500;2168
273;273;10/06/2020;67000;2168
274;274;08/06/2020;43000;2305
275;275;21/01/2020;111324;3190
276;276;03/01/2020;164000;3190
277;277;07/01/2020;131990;3190
278;278;15/01/2020;74169;3190
279;279;16/01/2020;106000;3190
280;280;16/03/2020;135000;3321
281;281;28/02/2020;59500;3190
282;282;17/03/2020;108254;3321
283;283;06/05/2020;45500;3321
284;284;19/05/2020;55000;3321
285;285;18/06/2020;41000;3190
286;286;16/05/2020;172200;3095
287;287;25/05/2020;100000;3310
288;288;15/05/2020;96000;3310
289;289;25/05/2020;153500;3310
290;290;20/05/2020;35722.61;3310
291;291;09/06/2020;26500;3310
292;292;04/01/2020;84000;4209
293;293;03/01/2020;71000;4166
294;294;10/01/2020;38550;4073
295;295;21/01/2020;118500;4049
296;296;06/01/2020;196000;4070
298;298;03/01/2020;43000;4209
300;300;20/01/2020;175000;4039
301;301;22/01/2020;34000;4096
303;303;15/01/2020;42000;4205
305;305;29/01/2020;105000;4070
306;306;14/01/2020;128690;4070
310;310;29/01/2020;75000;4086
311;311;03/01/2020;33880;4073
312;312;20/01/2020;42800;4019
313;313;07/02/2020;64000;4096
314;314;31/01/2020;105375;4094
315;315;30/01/2020;40000;4070
